Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,symmetric,0.61,0.38343108119627534
75% Corpus,6,symmetric,0.9099999999999999,0.42257059461518026
75% Corpus,6,symmetric,symmetric,0.3592515754093499
75% Corpus,6,asymmetric,0.01,0.31415001921519703
75% Corpus,6,asymmetric,0.31,0.38314032183869
75% Corpus,6,asymmetric,0.61,0.37932863098597114
75% Corpus,6,asymmetric,0.9099999999999999,0.41657049513816363
75% Corpus,6,asymmetric,symmetric,0.37099456448648277
75% Corpus,7,0.01,0.01,0.30499483900192687
75% Corpus,7,0.01,0.31,0.3770493895887192
75% Corpus,7,0.01,0.61,0.3800648486210097
75% Corpus,7,0.01,0.9099999999999999,0.42153180728965295
75% Corpus,7,0.01,symmetric,0.3543794423057557
75% Corpus,7,0.31,0.01,0.37281698148166337
75% Corpus,7,0.31,0.31,0.39836825812065185
75% Corpus,7,0.31,0.61,0.4342906103549529
75% Corpus,7,0.31,0.9099999999999999,0.4491794193010153
75% Corpus,7,0.31,symmetric,0.37255994334907955
75% Corpus,7,0.61,0.01,0.35091295710850223
75% Corpus,7,0.61,0.31,0.3730758907394024
75% Corpus,7,0.61,0.61,0.4241693098786897
75% Corpus,7,0.61,0.9099999999999999,0.41495966993369965
75% Corpus,7,0.61,symmetric,0.33657472651529974
75% Corpus,7,0.9099999999999999,0.01,0.33116508460490773
75% Corpus,7,0.9099999999999999,0.31,0.32414849428081116
75% Corpus,7,0.9099999999999999,0.61,0.3466815562577833
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.34888632928054747
75% Corpus,7,0.9099999999999999,symmetric,0.3245373132992169
75% Corpus,7,symmetric,0.01,0.36688225817684117
75% Corpus,7,symmetric,0.31,0.3641973779567927
75% Corpus,7,symmetric,0.61,0.41006831792843473
75% Corpus,7,symmetric,0.9099999999999999,0.43362494441005167
75% Corpus,7,symmetric,symmetric,0.35522177041504194
75% Corpus,7,asymmetric,0.01,0.37216828864014223
75% Corpus,7,asymmetric,0.31,0.37350854045586923
75% Corpus,7,asymmetric,0.61,0.3467706923792257
75% Corpus,7,asymmetric,0.9099999999999999,0.4080596772631279
75% Corpus,7,asymmetric,symmetric,0.3869483758286848
75% Corpus,8,0.01,0.01,0.34467135804407395
75% Corpus,8,0.01,0.31,0.3476177916737412
75% Corpus,8,0.01,0.61,0.3435813264273415
75% Corpus,8,0.01,0.9099999999999999,0.37385155945965415
75% Corpus,8,0.01,symmetric,0.3568852032714129
