Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.8891850003,2.35626299966;"{""type"": ""Point"", ""coordinates"": [2.356262999663356, 48.889185000258756]}";75018.0;8 Rue Francis Carco;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014H145;S'il vous plait de la verdure :);-
48.8381450003,2.32275900015;"{""type"": ""Point"", ""coordinates"": [2.322759000146401, 48.83814500029503]}";75014.0;81  Avenue du Maine;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G4267;Sur le terre-plei central;-
48.8903000003,2.35491699986;"{""type"": ""Point"", ""coordinates"": [2.354916999864154, 48.89030000028151]}";75018.0;7 Rue Marcadet;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G3643;-;-
48.8728019996,2.39988600026;"{""type"": ""Point"", ""coordinates"": [2.39988600026013, 48.87280199960048]}";75020.0;18 rue Borrego;-;Végétalisation d'un pied d'arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;;-;-
48.8485540002,2.32832099988;"{""type"": ""Point"", ""coordinates"": [2.3283209998797663, 48.84855400015431]}";75006.0;Rue de Rennes;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4050;pas de commentaires;-
48.8931609998,2.34916300062;"{""type"": ""Point"", ""coordinates"": [2.349163000617631, 48.893160999793025]}";75018.0;114  Rue de Clignancourt;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G3583;pas de commentaires;-
48.8320539999,2.32237300035;"{""type"": ""Point"", ""coordinates"": [2.322373000353182, 48.83205399993509]}";75014.0;29 Rue de la Sablière;la proposition ne rentre pas dans le cadre de l'opération Du Vert Près de Chez Moi car elle est sans rapport avec une végétalisation de proximité sur l'espace public;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G3321;"Espace occupé par une quinzaine de personnes importunant le 
voisinage tous les soirs";-
48.830708,2.36778299938;"{""type"": ""Point"", ""coordinates"": [2.367782999379505, 48.83070800000505]}";75013.0;1 Villa Auguste Blanqui;la proposition n'a pas été retenue car le trottoir est trop étroit;Mur végétalisé;Propositions non réalisables techniquement;S2014G2184;a la place d un panneau de pub (ou à côté) un grand mur n attend que de la verdure;-
48.8880069995,2.32053599936;"{""type"": ""Point"", ""coordinates"": [2.320535999357251, 48.88800699953434]}";75017.0;Rue Legendre;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I4327;pas de commentaires;-
48.8795049968,2.31832699703;"{""type"": ""Point"", ""coordinates"": [2.318326997028334, 48.879504996796875]}";75008.0;rue corvetto;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G3193;-;Réalisé
48.8576089999,2.35143799978;"{""type"": ""Point"", ""coordinates"": [2.351437999778015, 48.857608999928225]}";75004.0;1  Rue du Renard;la proposition n'a pas été retenue car il existe des vitrines à proximité, pour lesquelles elle aurait constitué une gêne visuelle;Mur végétalisé;Propositions non réalisables techniquement;S2014H3595;Tonelle;-
48.8598009996,2.3701900003;"{""type"": ""Point"", ""coordinates"": [2.3701900002987752, 48.85980099962126]}";75011.0;2 Rue Pelée;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G2801;Passage piéton mal aménagé pour passage poussettes et vélos et rv des pipis de chiens!;-
48.8612499997,2.37004599938;"{""type"": ""Point"", ""coordinates"": [2.370045999375938, 48.86124999966573]}";75011.0;19  Rue Alphonse Baudin;la proposition n'a pas été retenue car le trottoir est trop étroit;Mur végétalisé;Propositions non réalisables techniquement;S2014I4684;pas de commentaires;-
48.8332590002,2.36236499951;"{""type"": ""Point"", ""coordinates"": [2.362364999512889, 48.83325900019846]}";75013.0;124  Boulevard Vincent Auriol;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014I1994;pas de commentaires;-
48.8580090001,2.38205199998;"{""type"": ""Point"", ""coordinates"": [2.382051999975035, 48.85800900010002]}";75011.0;142  Rue de la Roquette;la proposition n'a pas été retenue car elle concerne une toiture et ne rentre donc pas dans le cadre de l'opération Du Vert près de Chez Moi, qui vise à verdir l'espace public;Autre proposition;Propositions non réalisables techniquement;S2014G2811;Le supermarché pourrait accueillir une toiture végétalisée. Elle serait visible par les nombreux habitants des immeubles alentour.;-
48.8645370003,2.35435599959;"{""type"": ""Point"", ""coordinates"": [2.354355999589194, 48.864537000287186]}";75003.0;80  Rue des Gravilliers;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014I3195;pas de commentaires;-
48.8779060004,2.40187000004;"{""type"": ""Point"", ""coordinates"": [2.401870000042921, 48.87790600040982]}";75019.0;138  Rue Haxo;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014G4771;Pose de câbles le long desquels peut grimper une plante, sur toute la hauteur du pignon de l'immeuble;-
48.8955789996,2.31761600058;"{""type"": ""Point"", ""coordinates"": [2.317616000579358, 48.895578999631454]}";75017.0;8  Passage Boulay;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G4733;Espace végétalisé comprenant seringues et multiples déchets appartenant à la copropriété de l'immeuble angle au boulevard bessieres;-
48.8681259997,2.34871500056;"{""type"": ""Point"", ""coordinates"": [2.348715000558652, 48.86812599972082]}";75002.0;Place du Caire;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G4008;-;-
48.8503489998,2.39304900045;"{""type"": ""Point"", ""coordinates"": [2.393049000447558, 48.85034899984157]}";75011.0;253  Boulevard Voltaire;-;Végétalisation d'un pied d'arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I4296;-;-
48.8623999998,2.33615899979;"{""type"": ""Point"", ""coordinates"": [2.336158999794818, 48.86239999978398]}";75001.0;93 Rue de Rivoli;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4334;"plus triste que la rue de rivoli dur de trouver. c'est le
 periph au centre de Paris";-
48.8925530004,2.32979299992;"{""type"": ""Point"", ""coordinates"": [2.329792999923777, 48.892553000392454]}";75018.0;239  Rue Marcadet;la proposition n'a pas été retenue du fait de la présence de réseaux enterrés incompatibles avec la plantation de végétaux;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G2355;pas de commentaires;-
48.8386769128,2.31439040533;"{""type"": ""Point"", ""coordinates"": [2.314390405325963, 48.83867691284094]}";75015.0;7 place madeleine renaud'et jean louis barrault;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G2459;-;Réalisé
48.8684549999,2.3444599994;"{""type"": ""Point"", ""coordinates"": [2.34445999939675, 48.86845499994091]}";75002.0;11  Rue Saint-Joseph;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014I338;Cette initiative tomple à point nommé et permettrait d'améliorer considérablement l'état de cette rue, d'autant que la hauteur des murs (régulièrement dégradés) se prêtent largement à cette opération.;-
48.8601389997,2.36580299984;"{""type"": ""Point"", ""coordinates"": [2.365802999839878, 48.86013899967384]}";75003.0;Rue Saint-Claude;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2489;"La place est vaste et n a que quelques arbres, on pourrait la vegetaliser
 bien plus, mattre des bacs de fleurs, vegetaliser le pied des arbres, cela egayerait la place qui est triste";-
48.843016249,2.27814522049;"{""type"": ""Point"", ""coordinates"": [2.27814522048911, 48.84301624903958]}";75015.0;rue andre lefebvre;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;NP38;-;Réalisé
48.869413,2.35071799998;"{""type"": ""Point"", ""coordinates"": [2.350717999983278, 48.86941300000401]}";75002.0;2  Rue des Degrés;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014H1989;pas de commentaires;-
48.8483059998,2.35436199963;"{""type"": ""Point"", ""coordinates"": [2.354361999630977, 48.84830599984319]}";75005.0;26  Rue des Fossés Saint-Bernard;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2044;Les arbres déjà présents le long de la fac de Jussieu sont très abimés par le chantier (arrachage des branches, chocs sur les troncs, fils qui pendent...) Idem pour les parterres qui sont complètement dégradés. Une intervention de votre part s'im;-
48.8612499997,2.37004599938;"{""type"": ""Point"", ""coordinates"": [2.370045999375938, 48.86124999966573]}";75011.0;19  Rue Alphonse Baudin;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I4961;pas de commentaires;-
48.8683160004,2.34860399947;"{""type"": ""Point"", ""coordinates"": [2.348603999467528, 48.868316000422276]}";75002.0;97  Rue d'Aboukir;la proposition n'a pas été retenue car aucun mur susceptible de servir de support à de la végétation n'a été trouvé à l'adresse indiquée;Mur végétalisé;Propositions non réalisables techniquement;S2014G3966;pas de commentaires;-
48.869778,2.35015900045;"{""type"": ""Point"", ""coordinates"": [2.35015900045182, 48.86977800000429]}";75002.0;16  Rue de la Lune;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I1785;-;-
48.877009832,2.40525703557;"{""type"": ""Point"", ""coordinates"": [2.405257035571538, 48.87700983196862]}";75019.0;341 rue de belleville;-;Mur végétalisé;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I1343;-;En cours d'études
48.8410992237,2.39383130794;"{""type"": ""Point"", ""coordinates"": [2.393831307941721, 48.8410992237405]}";75012.0;104b rue de reuilly;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014J87;-;Programmé
48.8821422301,2.33373420555;"{""type"": ""Point"", ""coordinates"": [2.333734205545069, 48.882142230122106]}";75009.0;place andre breton;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;NP54;-;Réalisé
48.8485540002,2.32832099988;"{""type"": ""Point"", ""coordinates"": [2.3283209998797663, 48.84855400015431]}";75006.0;Rue de Rennes;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4576;pas de commentaires;-
48.8741759999,2.3179839994;"{""type"": ""Point"", ""coordinates"": [2.3179839993955023, 48.87417599989288]}";75008.0;13 Rue La Boétie;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G3713;Plantation d'arbres rue la Boétie;-
48.8751740004,2.35570199975;"{""type"": ""Point"", ""coordinates"": [2.355701999745187, 48.875174000426796]}";75010.0;107  Rue du Faubourg Saint-Denis;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I4558;"Extension du SQ Alban Satragne - Victor Schoelcher
 URGENT . CQ St Denis Paradis";-
48.8541160004,2.3954020003;"{""type"": ""Point"", ""coordinates"": [2.395402000299821, 48.85411600035358]}";75011.0;Boulevard de Charonne;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014I2895;le boulevard est froid et bétonné, peu utilisé au sud du croisement avec la rue alexandre dumas. des plantes isolant les piétons de la circulation, pour profiter des bancs, promenade de verdure, éventuellement en hauteur,;-
48.881015,2.35918499939;"{""type"": ""Point"", ""coordinates"": [2.359184999393435, 48.88101499999863]}";75010.0;Rue Demarquay;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014I4481;les plantes ne sont pas arrosés par la ville;-
48.8766919998,2.37372399993;"{""type"": ""Point"", ""coordinates"": [2.373723999934666, 48.876691999788896]}";75019.0;20  Rue Henri Turot;la proposition n'a pas été retenue car elle concerne une toiture et ne rentre donc pas dans le cadre de l'opération Du Vert près de Chez Moi, qui vise à verdir l'espace public;Autre proposition;Propositions non réalisables techniquement;S2014G1822;pas de commentaires;-
48.8305269997,2.37357600018;"{""type"": ""Point"", ""coordinates"": [2.373576000181336, 48.83052699972299]}";75013.0;96  Rue du Chevaleret;la proposition n'a pas été retenue car le trottoir est trop étroit;Mur végétalisé;Propositions non réalisables techniquement;S2014G4713;La halle (futur incubateur start-up) est bordée d'un long mur en moellons. Est-il possible de le conserver et de le végétaliser? Merci;-
48.8926580004,2.33053599989;"{""type"": ""Point"", ""coordinates"": [2.330535999891965, 48.89265800039674]}";75018.0;86  Rue Joseph de Maistre;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G2923;pas de commentaires;-
48.8870349996,2.39470300055;"{""type"": ""Point"", ""coordinates"": [2.394703000545916, 48.88703499958197]}";75019.0;132  Boulevard Sérurier;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014H3698;"il existe une vingtaine d'arbres sur la fin de cette portion 
du boulevard Sérurier peu valorisé.";-
48.837545,2.29980400038;"{""type"": ""Point"", ""coordinates"": [2.299804000381277, 48.83754499996367]}";75015.0;103  Rue de l'Abbé Groult;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H2564;-;-
48.8699420004,2.34793799963;"{""type"": ""Point"", ""coordinates"": [2.347937999626645, 48.86994200035718]}";75002.0;En face du 36 rue Poissonnière;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;;-;-
48.8549929999,2.37329399969;"{""type"": ""Point"", ""coordinates"": [2.373293999693632, 48.85499299988838]}";75011.0;54  Rue de la Roquette;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H1748;-;-
48.831472,2.36869600012;"{""type"": ""Point"", ""coordinates"": [2.368696000116593, 48.83147200002243]}";75013.0;81  Rue Dunois;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I2507;-;-
48.8640969997,2.4017509994;"{""type"": ""Point"", ""coordinates"": [2.4017509993986073, 48.864096999717326]}";75020.0;7 Bis Rue de la Cour des Noues;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G3519;-;-
48.864019,2.40017399937;"{""type"": ""Point"", ""coordinates"": [2.400173999374307, 48.864019000018324]}";75020.0;Place Emile Landrin;-;autre proposition;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2081;-;-
48.8745100003,2.35560900024;"{""type"": ""Point"", ""coordinates"": [2.355609000244442, 48.87451000029441]}";75010.0;96  Rue du Faubourg Saint-Denis;-;plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I4552;-;-
48.8679529997,2.39246100048;"{""type"": ""Point"", ""coordinates"": [2.392461000481651, 48.8679529997328]}";75020.0;Rue Boyer;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4165;Les arbres plantés sur cette rue aurait pour vocation aussi de réduire les nuisances sonores provoquées par La Bellevilloise et la Maroquinerie...;-
48.8603150003,2.38203400051;"{""type"": ""Point"", ""coordinates"": [2.382034000506446, 48.86031500031465]}";75011.0;22  Rue Saint-Maur;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014H1048;pas de commentaires;-
48.876477,2.32925900028;"{""type"": ""Point"", ""coordinates"": [2.329259000275469, 48.87647699997698]}";75009.0;Cité de Londres;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Mur végétalisé;Propositions non réalisables techniquement;S2014I4623;"Le mur de droite, quand on entre par la rue Saint Lazare, 
peut être dé-betoné au sol au niveau du trottoir et avec des câbles verticaux et horizontaux, on peut fixer des plantes grimpantes.";-
48.8797509996,2.34356699988;"{""type"": ""Point"", ""coordinates"": [2.343566999876631, 48.879750999606465]}";75009.0;48  Rue Rodier;la proposition n'a pas été retenue du fait de la présence de réseaux enterrés incompatibles avec la plantation de végétaux;Mur végétalisé;Propositions non réalisables techniquement;S2014I4366;Ce pignon est certe petit mais sa vue est dégagé. Il y a une percée interessante de la rue Rodier vers le sud, centré sur la tour Montparnasse. Ce pigon végétal vertical jouerait en tension avec la tour.;-
48.8748360001,2.37984199979;"{""type"": ""Point"", ""coordinates"": [2.37984199979254, 48.87483600006935]}";75019.0;55  Rue Rébeval;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Autre proposition;Propositions non réalisables techniquement;S2014I3590;vegetalise toute le surface pour eviter les depots d'odures et autres problème;-
48.8312949996,2.31284599975;"{""type"": ""Point"", ""coordinates"": [2.312845999749792, 48.8312949995658]}";75014.0;146 Rue Raymond Losserand;la proposition n'a pas été retenue car elle concerne une toiture et ne rentre donc pas dans le cadre de l'opération Du Vert près de Chez Moi, qui vise à verdir l'espace public;Autre proposition;Propositions non réalisables techniquement;S2014H3611;terrasses au 1er etage autour de l immeuble pourraient devenir un espace vegetalise;-
48.8957619996,2.34752799957;"{""type"": ""Point"", ""coordinates"": [2.347527999572454, 48.89576199957639]}";75018.0;54  Rue Championnet;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Plantation d?arbre;Propositions non réalisables techniquement;S2014I4337;pas de commentaires;-
48.8396829996,2.37088399952;"{""type"": ""Point"", ""coordinates"": [2.370883999520441, 48.83968299957914]}";75013.0;80  Quai d'Austerlitz;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2793;ce nouvel espace devant la gare d'austerlitz, de part et d'autre du pont charles de gaulle est d'une tristesse! pas une plante, un arbre, que du béton gris, gris gris. Mettez de l'herbe, de grâce!;-
-90.0,-59.0169768948;"{""type"": ""Point"", ""coordinates"": [-59.016976894805566, -90.0]}";75019.0;Rue de Belleville, du n° 269  à la rue de Romainville;-;Plantation darbres fruitiers reliés entre eux par un corridor vert et bacs potagers à proximité de la station de métro Télégraphe;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014H2748;-;-
48.8426710004,2.29499500042;"{""type"": ""Point"", ""coordinates"": [2.294995000422279, 48.842671000396365]}";75015.0;101 Rue de la Croix Nivert;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014I5665;Voici un mur qui pourrait être végétalisé;-
48.8961930003,2.34682899962;"{""type"": ""Point"", ""coordinates"": [2.346828999615691, 48.89619300025881]}";75018.0;1b  Passage Duhesme;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G2220;Plutot que d'autoriser un stationnement genant propice au squat et toilette en plein air a proximite des enfant vegetalisons !;-
48.8812439999,2.39475899973;"{""type"": ""Point"", ""coordinates"": [2.394758999728326, 48.881243999877896]}";75019.0;Villa du Danube;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014I1813;remise en etat du sol pavés disjoints à refixer;-
48.8247019999,2.35772900013;"{""type"": ""Point"", ""coordinates"": [2.357729000129339, 48.82470199985976]}";75013.0;10  Avenue d'Italie;la proposition n'a pas été retenue car aucun mur susceptible de servir de support à de la végétation n'a été trouvé à l'adresse indiquée;Mur végétalisé;Propositions non réalisables techniquement;S2014I4667;Faire un mur végéral sur la facade du centre commercial Italie 2 ainsi qu'un espace végétal sur l'esplanade devant. On pourrait y installer des food trucks avec des tables et des chaises pour déjeuner dans cette ambiance végétalisée;-
48.8942230001,2.34741199959;"{""type"": ""Point"", ""coordinates"": [2.347411999594557, 48.894223000080515]}";75018.0;33  Boulevard Ornano;la proposition n'a pas été retenue car elle concerne une zone située en dehors du domaine public géré par la Ville de Paris;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014H3594;pas de commentaires;-
48.8844539996,2.37490599943;"{""type"": ""Point"", ""coordinates"": [2.374905999426309, 48.884453999602705]}";75019.0;4 Rue Henri Noguères;la proposition n'a pas été retenue du fait du caractère sensible du site proposé;Mur végétalisé;Propositions non réalisables techniquement;S2014G2214;Pour éviter les tags et faire en profiter nos enfants de l'école Henri Nogueres;-
48.8880589996,2.32451000031;"{""type"": ""Point"", ""coordinates"": [2.324510000310613, 48.88805899961894]}";75017.0;75  Avenue de Clichy;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Autre proposition;Propositions non réalisables techniquement;S2014G4422;Elaguer arbres au 75, 77, 79 rue de clichy (pharmacie européenne) Enseignes pas visibles occultés. Urgent;-
48.8750820001,2.336859;"{""type"": ""Point"", ""coordinates"": [2.33685899999936, 48.8750820000654]}";75009.0;37  Rue de la Victoire;-;Jardinière en pleine terre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G2548;-;-
48.8296959998,2.33102600007;"{""type"": ""Point"", ""coordinates"": [2.33102600006847, 48.82969599982681]}";75014.0;Rue Dumoncel;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;;-;-
48.8733730003,2.34906900053;"{""type"": ""Point"", ""coordinates"": [2.349069000529169, 48.87337300029134]}";75010.0;Rue Gabriel Laumain;-;Pot ou bac à fleurs;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G4110;-;-
48.8484419998,2.41304899956;"{""type"": ""Point"", ""coordinates"": [2.413048999563232, 48.848441999802446]}";75020.0;Rue Louis Delaporte;la proposition n'a pas été retenue car elle faisait état d'un dysfonctionnement de l'espace public, et ne rentrait pas dans le cadre de l'opération Du Vert Près de Chez Moi;Plantation d?arbre;Propositions non réalisables techniquement;S2014I4124;plusieurs arbres on été couper dans le parc devant chez moi cela fourni un mur naturel contre les nuisances du peripherique mais ils ne sont jamais replanter en 6 ans que je vis rue louis delaporte et le bruit du perif est de plus en plus présent;-
48.8646279996,2.35407400067;"{""type"": ""Point"", ""coordinates"": [2.354074000673906, 48.86462799961901]}";75003.0;86  Rue des Gravilliers;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014I3193;pas de commentaires;-
48.8732353948,2.35837986575;"{""type"": ""Point"", ""coordinates"": [2.3583798657488773, 48.873235394801924]}";75010.0;63 rue des vinaigriers;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I72;-;Réalisé
48.8806648233,2.33550232571;"{""type"": ""Point"", ""coordinates"": [2.335502325707881, 48.880664823290395]}";75009.0;53 rue jean baptiste pigalle;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;NP55;-;Réalisé
48.872461204,2.39776240481;"{""type"": ""Point"", ""coordinates"": [2.3977624048140562, 48.87246120401619]}";75020.0;17 rue des pavillons;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I4320;-;Programmé
48.8392749998,2.3840980005;"{""type"": ""Point"", ""coordinates"": [2.384098000498036, 48.83927499980757]}";75012.0;Boulevard de Bercy;la proposition n'a pas été retenue du fait d'un support incompatible avec la mise en place de végétation;Mur végétalisé;Propositions non réalisables techniquement;S2014H3973;grands murs le long des voies ferrées, trop de pub;-
48.8832520003,2.36565900026;"{""type"": ""Point"", ""coordinates"": [2.365659000256241, 48.883252000290135]}";75010.0;55  Rue de l'Aqueduc;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2454;planter des arbres dans la rue de l'aqueduc;-
48.8775050001,2.37005099988;"{""type"": ""Point"", ""coordinates"": [2.370050999884529, 48.87750500009897]}";75010.0;4 Place Napoléon III;la proposition n'a pas été retenue du fait du caractère sensible du site proposé;Plantation d?arbre;Propositions non réalisables techniquement;S2014I5612;Végétaliser le parvis de la Gare du Nord;-
48.8774650003,2.34458400029;"{""type"": ""Point"", ""coordinates"": [2.344584000293554, 48.877465000340365]}";75009.0;17 Rue de Rochechouart;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014G4024;Sur l'un des murs du conservatoire de musique;-
48.865189,2.35050999979;"{""type"": ""Point"", ""coordinates"": [2.350509999790019, 48.865189000038335]}";75002.0;14?28 Rue Greneta;la proposition n'a pas été retenue car le mur proposé est apparu inadéquat ou en mauvais état;Mur végétalisé;Propositions non réalisables techniquement;S2014H616;Des hommes et des chiens y font leurs besoins, coin lugubre le soir, notamment les dealers...;-
48.8626639998,2.35140500043;"{""type"": ""Point"", ""coordinates"": [2.35140500042849, 48.862663999833146]}";75003.0;86  Rue Quincampoix;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014H2110;Afin d'éviter la dégradation régulière du mur d'entrée de l'immeuble, peut on envisager une végétalisation de type bac à fleur etou mur végétalisé ? Un mur plein sud, un mur plein nord;-
48.8668110003,2.32194799978;"{""type"": ""Point"", ""coordinates"": [2.321947999777577, 48.866811000278524]}";75008.0;Place de la Concorde;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Plantation d?arbre;Propositions non réalisables techniquement;S2014G3760;pas de commentaires;-
48.8368710004,2.37783200031;"{""type"": ""Point"", ""coordinates"": [2.377832000311038, 48.83687100043297]}";75012.0;1 Port de Bercy;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014I2163;végetaliser la palissade pour reduire les nuisances de la circulation juste à coté.;-
48.8838230001,2.32758500014;"{""type"": ""Point"", ""coordinates"": [2.327585000137212, 48.88382300006031]}";75018.0;Place de Clichy;la proposition n'a pas été retenue du fait de la présence de réseaux enterrés incompatibles avec la plantation de végétaux;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014G1983;Un peu de verdure autour de la statue du Maréchal Moncey serait une bonne idée si cela est faisable;-
