Geo Point;Geo Shape;Arrondissement;Adresse;Proposition non réalisable;Type de végétalisation;Etat de la proposition;Numéro;Commentaitre accompagnant la proposition;Avancement du projet
48.8693049999,2.35692900011;"{""type"": ""Point"", ""coordinates"": [2.356929000114588, 48.86930499990199]}";75010.0;84  Rue René Boulanger;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Jardinière en pleine terre;Propositions non réalisables techniquement;S2014I739;Végétaliser la placette face au théatre. Elle est grise et envahie de 2 roues (il faudrait deplacer l'arret vélos/scooters). De la verdure, un arbre, des potelets fleuris rendraient ce carrefour plus humain et embellirait la charmante rue R.Boulanger;-
48.873802,2.3511019997;"{""type"": ""Point"", ""coordinates"": [2.351101999699803, 48.873802000008936]}";75010.0;32 Rue des Petites Ecuries;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Mur végétalisé;Propositions non réalisables techniquement;S2014G2021;Un petit mur végétalisme ?;-
48.8583609997,2.37027600024;"{""type"": ""Point"", ""coordinates"": [2.370276000242272, 48.8583609996992]}";75011.0;Passage Sainte-Anne Popincourt;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I4452;Le syndicat des copropriétaires avec GENERALLI soumettera à la ville une étude faite par un architecte paysagiste;-
48.8380210004,2.32296500055;"{""type"": ""Point"", ""coordinates"": [2.322965000550997, 48.83802100036686]}";75014.0;85  Avenue du Maine;la proposition n'a pas été retenue car le trottoir est trop étroit;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G2507;"Le terre-plein en sortie de tunnel, au milieu de chaussée, offre
 un bel espace qui pourrait accueillir du vert.";-
48.8860893861,2.33572322175;"{""type"": ""Point"", ""coordinates"": [2.335723221753392, 48.88608938612661]}";75018.0;rue durantin;-;Pot ou bac à fleurs;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I4435;-;Programmé
48.84958,2.31946699979;"{""type"": ""Point"", ""coordinates"": [2.319466999785784, 48.84957999997925]}";75007.0;6 Rue d'Olivet;la proposition n'a pas été retenue car aucun mur susceptible de servir de support à de la végétation n'a été trouvé à l'adresse indiquée;Mur végétalisé;Propositions non réalisables techniquement;S2014G2232;du vert!;-
48.8764210004,2.35559200058;"{""type"": ""Point"", ""coordinates"": [2.355592000582096, 48.87642100036039]}";75010.0;85 Boulevard de Magenta;la proposition n'a pas été retenue car elle correspond à un opération de plus grande ampleur, incluant potentiellement des travaux relativement conséquents, allant au-delà de cet appel à propositions qui vise à développer une végétalisation de;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014I3632;Au sein du marché, faire une serre, un parcours végétal pour les enfants;-
48.8508500004,2.34700399945;"{""type"": ""Point"", ""coordinates"": [2.347003999454567, 48.85085000040879]}";75005.0;Rue Domat;la proposition n'a pas été retenue car l'espace n'est pas suffisant;Pot ou bac à fleurs;Propositions non réalisables techniquement;S2014G2546;pas de commentaires;-
48.8695579996,2.3658549995;"{""type"": ""Point"", ""coordinates"": [2.3658549995027363, 48.86955799958118]}";75010.0;22 Rue Léon Jouhaux;la proposition n'a pas été retenue car le trottoir est trop étroit;Plantation d?arbre;Propositions non réalisables techniquement;S2014G2203;Énormément de circulation depuis la refonte de la place république. un peu de vert svp!;-
48.8543210004,2.3777140006;"{""type"": ""Point"", ""coordinates"": [2.377714000602615, 48.854321000423674]}";75011.0;127  Avenue Ledru-Rollin;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014H1730;pas de commentaires;-
48.8505310002,2.27679199952;"{""type"": ""Point"", ""coordinates"": [2.276791999522663, 48.850531000231705]}";75016.0;18 Avenue de Versailles;la proposition n'a pas été retenue à cause du revêtement de l'entourage d'arbre incompatible avec la plantation de végétaux ou du risque de piétinement importants;Végétalisation d'un pied d'arbre;Propositions non réalisables techniquement;S2014G3904;Trottoir très large, 3 arbres pouvant être réunis dans un espace fleuri;-
48.8376800002,2.30918100005;"{""type"": ""Point"", ""coordinates"": [2.309181000047339, 48.837680000174714]}";75015.0;48  Rue Bargue;l'absence de commentaires ou de photos, ou de précisions suffisantes, n'ont pas permis aux services de caractériser le type de végétalisation souhaité ou un emplacement suffisament précis;Autre proposition;Propositions non réalisables techniquement;S2014G2142;pas de commentaires;-
48.8540880003,2.40241299941;"{""type"": ""Point"", ""coordinates"": [2.402412999406445, 48.854088000349535]}";75020.0;27  Rue de la Réunion;la proposition n'a pas été retenue car elle concerne une zone non accessible depuis l'espace public;Mur végétalisé;Propositions non réalisables techniquement;S2014G4296;pas de commentaires;-
48.8774379998,2.35613600039;"{""type"": ""Point"", ""coordinates"": [2.35613600039222, 48.877437999769164]}";75010.0;135 Rue du Faubourg Saint-Denis;-;Plantation d?arbre;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014G4026;-;-
48.869778,2.35015900045;"{""type"": ""Point"", ""coordinates"": [2.35015900045182, 48.86977800000429]}";75002.0;16  Rue de la Lune;-;Mur végétalisé;proposition réalisable techniquement mais non retenue dans les 200 points de végétalisation;S2014I1784;-;-
48.8753766112,2.38409179113;"{""type"": ""Point"", ""coordinates"": [2.3840917911331783, 48.87537661117822]}";75019.0;25b rue clavel;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G3458;-;En cours de substitution / En cours de validation
48.8700166284,2.39601966731;"{""type"": ""Point"", ""coordinates"": [2.396019667311632, 48.87001662837321]}";75020.0;130 rue de menilmontant;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014I4949;-;Programmé
48.8381891555,2.28800735109;"{""type"": ""Point"", ""coordinates"": [2.288007351092561, 48.8381891554835]}";75015.0;283-289 rue lecourbe;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G1841;-;Programmé
48.8263154555,2.37761107692;"{""type"": ""Point"", ""coordinates"": [2.377611076916044, 48.82631545546354]}";75013.0;6 rue cantagrel;-;Plantation d'arbre;proposition réalisable et retenue dans les 200 points de végétalisation;S2014G2919;-;En cours d'études
48.8772539961,2.36257030229;"{""type"": ""Point"", ""coordinates"": [2.362570302287324, 48.87725399608187]}";75010.0;186 quai de valmy;-;Mur végétalisé;proposition réalisable et retenue dans les 200 points de végétalisation;S2014H223;-;En cours de substitution / En cours de validation
48.8721479997,2.33931899971;"{""type"": ""Point"", ""coordinates"": [2.339318999705834, 48.8721479997459]}";75009.0;4 Boulevard Haussmann;la proposition n'a pas été retenue car peu compatible avec la circulation des piétons (forte fréquentation, piétinement, gêne) ou aggraverait l'encombrement de l'espace public concerné;Plantation d?arbre;Propositions non réalisables techniquement;S2014G4070;Un espace inutilisé qui gagnerait à se verdir dans un quartier très gris sans végétation;-
48.8363850003,2.40225899934;"{""type"": ""Point"", ""coordinates"": [2.402258999342592, 48.83638500034795]}";75012.0;1  Avenue du Général Michel Bizot;la proposition n'a pas été retenue du fait de la présence de réseaux enterrés incompatibles avec la plantation de végétaux;Mur végétalisé;Propositions non réalisables techniquement;S2014H3212;pas de commentaires;-
